fault_active_s1,fault_active_s2,fault_active_s3,fault_active_s4,k,t,valid_s1,valid_s2,valid_s3,valid_s4,w_s1,w_s2,w_s3,w_s4
0.0,0.0,0.0,1.0,525,52.5,1.0,1.0,1.0,1.0,3.8379454281312064e-07,0.008715598843991756,0.9912840127944946,9.538118992541422e-13
0.0,0.0,0.0,1.0,526,52.599998474121094,1.0,1.0,1.0,1.0,6.19512150024093e-07,0.007439877837896347,0.992559552192688,1.7372757399325423e-10
0.0,0.0,0.0,1.0,527,52.70000076293945,1.0,1.0,1.0,1.0,4.5328218334361736e-07,0.0031624468974769115,0.9575316309928894,0.03930554538965225
0.0,0.0,0.0,1.0,528,52.79999923706055,1.0,1.0,1.0,1.0,3.106854649104207e-07,0.003278645919635892,0.520004153251648,0.4767168462276459
0.0,0.0,0.0,1.0,529,52.900001525878906,1.0,1.0,1.0,1.0,3.8075268093962222e-06,0.0064599779434502125,0.993536114692688,1.6170918115676614e-07
0.0,0.0,0.0,1.0,530,53.0,1.0,1.0,1.0,1.0,2.0401712390594184e-06,0.00504988431930542,0.9949480295181274,3.810868776099596e-08
0.0,0.0,0.0,1.0,531,53.099998474121094,1.0,1.0,1.0,1.0,1.1876343705807813e-05,0.005218669306486845,0.994745135307312,2.4315189875778742e-05
0.0,0.0,0.0,1.0,532,53.20000076293945,1.0,1.0,1.0,1.0,2.371299524384085e-05,0.003826253581792116,0.996150016784668,4.468793335377086e-09
0.0,0.0,0.0,1.0,533,53.29999923706055,1.0,1.0,1.0,1.0,3.0035633244551718e-05,0.0030569934751838446,0.9969128370285034,1.1084013351592148e-07
0.0,0.0,0.0,1.0,534,53.400001525878906,1.0,1.0,1.0,1.0,1.581548167450819e-05,0.0028371759690344334,0.9971185922622681,2.8446507712942548e-05
0.0,0.0,0.0,1.0,535,53.5,1.0,1.0,1.0,1.0,1.982016874535475e-05,0.0006951969699002802,0.9960265159606934,0.0032584110740572214
0.0,0.0,0.0,1.0,536,53.599998474121094,1.0,1.0,1.0,1.0,4.394593997858465e-05,0.00017199444118887186,0.9883915781974792,0.011392374522984028
0.0,0.0,0.0,1.0,537,53.70000076293945,1.0,1.0,1.0,1.0,2.3289088858291507e-05,0.00010353693505749106,0.5884893536567688,0.41138380765914917
0.0,0.0,0.0,1.0,538,53.79999923706055,1.0,1.0,1.0,1.0,2.2999811335466802e-05,1.732729288050905e-05,0.11040674149990082,0.8895529508590698
0.0,0.0,0.0,1.0,539,53.900001525878906,1.0,1.0,1.0,1.0,2.5674606149550527e-05,6.288164877332747e-05,0.4062369465827942,0.5936744809150696
0.0,0.0,0.0,1.0,540,54.0,1.0,1.0,1.0,1.0,1.3362359823076986e-05,1.327906829828862e-06,0.15742579102516174,0.8425595760345459
0.0,0.0,0.0,1.0,541,54.099998474121094,1.0,1.0,1.0,1.0,5.772213171439944e-06,3.516777269396698e-07,0.5732269883155823,0.42676684260368347
0.0,0.0,0.0,1.0,542,54.20000076293945,1.0,1.0,1.0,1.0,9.073736873688176e-05,1.3554576071328484e-05,0.9269535541534424,0.07294218242168427
0.0,0.0,0.0,1.0,543,54.29999923706055,1.0,1.0,1.0,1.0,0.0008007644210010767,6.452849902416347e-06,0.9947040677070618,0.004488714504987001
0.0,0.0,0.0,1.0,544,54.400001525878906,1.0,1.0,1.0,1.0,0.004599639680236578,6.870031211292371e-05,0.993488073348999,0.001843509846366942
0.0,0.0,0.0,1.0,545,54.5,1.0,1.0,1.0,1.0,0.0005192261887714267,5.899984898860566e-05,0.9728489518165588,0.02657277137041092
0.0,0.0,0.0,1.0,546,54.599998474121094,1.0,1.0,1.0,1.0,0.0004529614234343171,1.5354484276031144e-05,0.99149489402771,0.008036777377128601
0.0,0.0,0.0,1.0,547,54.70000076293945,1.0,1.0,1.0,1.0,0.00012850422353949398,9.013605449581519e-06,0.9889984726905823,0.010864083655178547
0.0,0.0,0.0,1.0,548,54.79999923706055,1.0,1.0,1.0,1.0,0.0011930490145459771,9.431522812519688e-06,0.9949659705162048,0.0038315150886774063
0.0,0.0,0.0,1.0,549,54.900001525878906,1.0,1.0,1.0,1.0,0.015995534136891365,0.00010586031567072496,0.9762900471687317,0.007608511485159397
0.0,0.0,0.0,1.0,550,55.0,1.0,1.0,1.0,1.0,0.005167393945157528,0.0005487770540639758,0.9192157983779907,0.07506797462701797
0.0,0.0,0.0,1.0,551,55.099998474121094,1.0,1.0,1.0,1.0,0.0006658040801994503,9.571932605467737e-05,0.9869621992111206,0.01227627880871296
0.0,0.0,0.0,1.0,552,55.20000076293945,1.0,1.0,1.0,1.0,4.2185249185422435e-05,0.00028388373902998865,0.9696332216262817,0.030040685087442398
0.0,0.0,0.0,1.0,553,55.29999923706055,1.0,1.0,1.0,1.0,0.00011010203161276877,0.001185733126476407,0.6219965219497681,0.3767077624797821
0.0,0.0,0.0,1.0,554,55.400001525878906,1.0,1.0,1.0,1.0,5.658114969264716e-05,0.0003312143380753696,0.15241427719593048,0.8471978902816772
0.0,0.0,0.0,1.0,555,55.5,1.0,1.0,1.0,1.0,8.53761775942985e-06,0.00017261673929169774,0.12973721325397491,0.8700816631317139
0.0,0.0,0.0,1.0,556,55.599998474121094,1.0,1.0,1.0,1.0,1.668259756115731e-05,6.0135040257591754e-05,0.055032793432474136,0.9448903203010559
0.0,0.0,0.0,1.0,557,55.70000076293945,1.0,1.0,1.0,1.0,2.797125489450991e-06,0.00032338270102627575,0.012823211960494518,0.9868506193161011
0.0,0.0,0.0,1.0,558,55.79999923706055,1.0,1.0,1.0,1.0,1.6022032696128008e-06,0.0007092110463418067,0.03302345797419548,0.9662657380104065
